Date,Target,Horizon,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
2019-09-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, variable_mortgages","Business_Confidence_EU, Wage_change, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, PPI, retail_turnover, Vol_loans, real_turnover"
2019-12-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, variable_mortgages","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, PPI, retail_turnover, Vol_loans, real_turnover"
2020-03-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, gdp_index_ch, M3_change, unemployment_rate, Manufacturing_EU","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, PPI, retail_turnover, Vol_loans, real_turnover"
2020-06-01,Headline,12,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, gdp_index_ch, unemployment_rate, M3_change, Manufacturing_EU","oilprices, fin_spread, M3_change, variable_mortgages, unemployment_rate","Exchange_Rate_CHF, retail_turnover, PPI, Vol_loans, real_turnover"
2020-09-01,Headline,12,"Saron_Rate, EU_fin_spread, M2_change, CH_2int, M1_change","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, unemployment_rate, gdp_index_ch, M3_change, Manufacturing_EU","oilprices, fin_spread, M3_change, variable_mortgages, unemployment_rate","Exchange_Rate_CHF, PPI, Vol_loans, retail_turnover, real_turnover"
2020-12-01,Headline,12,"M2_change, Saron_Rate, EU_fin_spread, CH_2int, M1_change","Wage_change, Business_Confidence_EU, fin_spread, variable_mortgages, gdp_index_eu","kofbarometer, unemployment_rate, gdp_index_ch, M3_change, Manufacturing_EU","oilprices, fin_spread, M3_change, variable_mortgages, unemployment_rate","Exchange_Rate_CHF, PPI, Vol_loans, retail_turnover, real_turnover"
2021-03-01,Headline,12,"M2_change, Saron_Rate, EU_fin_spread, M1_change, CH_2int","Wage_change, Business_Confidence_EU, fin_spread, variable_mortgages, infl_e_next_year","kofbarometer, unemployment_rate, gdp_index_ch, M3_change, Manufacturing_EU","oilprices, fin_spread, variable_mortgages, M3_change, Vol_loans","Exchange_Rate_CHF, PPI, Vol_loans, retail_turnover, real_turnover"
2021-06-01,Headline,12,"Saron_Rate, M2_change, CH_2int, EU_fin_spread, M1_change","Wage_change, Business_Confidence_EU, fin_spread, M1_change, variable_mortgages","kofbarometer, M3_change, gdp_index_ch, unemployment_rate, Manufacturing_EU","oilprices, fin_spread, Vol_loans, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, PPI, retail_turnover, oilprices, real_turnover"
2021-09-01,Headline,12,"Saron_Rate, CH_2int, infl_e_next_year, variable_mortgages, infl_e_current_year","Wage_change, fin_spread, Business_Confidence_EU, M1_change, M2_change","gdp_index_ch, kofbarometer, gdp_index_eu, M3_change, real_turnover","Manufacturing_EU, kofbarometer, retail_turnover, unemployment_rate, real_turnover","oilprices, Exchange_Rate_CHF, fin_spread, Vol_loans, retail_turnover"
2021-12-01,Headline,12,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M1_change, M2_change, fin_spread, Business_Confidence_EU, Wage_change","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","Manufacturing_EU, kofbarometer, gdp_index_eu, gdp_index_ch, real_turnover","oilprices, Vol_loans, fin_spread, M3_change, unemployment_rate"
2022-03-01,Headline,12,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, fin_spread, Business_Confidence_EU, M3_change","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, gdp_index_eu, Manufacturing_EU, gdp_index_ch, real_turnover","oilprices, Vol_loans, Manufacturing_EU, unemployment_rate, variable_mortgages"
2022-06-01,Headline,12,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, M3_change","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, gdp_index_eu, Manufacturing_EU, gdp_index_ch, real_turnover","oilprices, Vol_loans, variable_mortgages, unemployment_rate, Manufacturing_EU"
2022-09-01,Headline,12,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, EU_fin_spread","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, gdp_index_eu, Manufacturing_EU, gdp_index_ch, real_turnover","oilprices, Vol_loans, variable_mortgages, Manufacturing_EU, unemployment_rate"
2022-12-01,Headline,12,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, EU_fin_spread","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, gdp_index_eu, Manufacturing_EU, gdp_index_ch, real_turnover","oilprices, Vol_loans, variable_mortgages, Manufacturing_EU, unemployment_rate"
2023-03-01,Headline,12,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, EU_fin_spread","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, gdp_index_eu, Manufacturing_EU, gdp_index_ch, unemployment_rate","oilprices, Vol_loans, variable_mortgages, unemployment_rate, Manufacturing_EU"
2023-06-01,Headline,12,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, EU_fin_spread","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, gdp_index_eu, Manufacturing_EU, gdp_index_ch, unemployment_rate","oilprices, variable_mortgages, Vol_loans, unemployment_rate, EU_fin_spread"
2023-09-01,Headline,12,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, M3_change","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, Manufacturing_EU, gdp_index_eu, gdp_index_ch, unemployment_rate","oilprices, variable_mortgages, gdp_index_eu, EU_fin_spread, PPI"
2023-12-01,Headline,12,"CH_2int, Saron_Rate, infl_e_next_year, variable_mortgages, infl_e_current_year","M2_change, M1_change, Business_Confidence_EU, fin_spread, Wage_change","gdp_index_ch, gdp_index_eu, kofbarometer, real_turnover, M3_change","kofbarometer, Manufacturing_EU, unemployment_rate, gdp_index_eu, infl_e_current_year","oilprices, gdp_index_eu, gdp_index_ch, variable_mortgages, EU_fin_spread"
2024-03-01,Headline,12,"Saron_Rate, CH_2int, infl_e_next_year, infl_e_current_year, variable_mortgages","fin_spread, Business_Confidence_EU, M2_change, M1_change, Wage_change","gdp_index_ch, gdp_index_eu, real_turnover, kofbarometer, M3_change","kofbarometer, Manufacturing_EU, unemployment_rate, infl_e_current_year, gdp_index_eu","oilprices, gdp_index_eu, gdp_index_ch, variable_mortgages, EU_fin_spread"
2024-06-01,Headline,12,"Saron_Rate, infl_e_next_year, CH_2int, infl_e_current_year, M2_change","fin_spread, Wage_change, Business_Confidence_EU, M1_change, M2_change","gdp_index_ch, gdp_index_eu, real_turnover, kofbarometer, M3_change","kofbarometer, Manufacturing_EU, unemployment_rate, gdp_index_eu, infl_e_current_year","oilprices, gdp_index_eu, variable_mortgages, gdp_index_ch, EU_fin_spread"
2024-09-01,Headline,12,"Saron_Rate, infl_e_next_year, infl_e_current_year, CH_2int, M2_change","Wage_change, fin_spread, Business_Confidence_EU, M1_change, M2_change","gdp_index_ch, gdp_index_eu, real_turnover, kofbarometer, PPI","kofbarometer, Manufacturing_EU, gdp_index_eu, unemployment_rate, gdp_index_ch","oilprices, gdp_index_eu, variable_mortgages, gdp_index_ch, EU_fin_spread"
2024-12-01,Headline,12,"Saron_Rate, infl_e_current_year, infl_e_next_year, M2_change, CH_2int","Wage_change, fin_spread, Business_Confidence_EU, M1_change, M2_change","gdp_index_ch, gdp_index_eu, real_turnover, kofbarometer, PPI","kofbarometer, Manufacturing_EU, gdp_index_eu, gdp_index_ch, unemployment_rate","oilprices, variable_mortgages, gdp_index_eu, EU_fin_spread, gdp_index_ch"
2025-03-01,Headline,12,"Saron_Rate, infl_e_current_year, infl_e_next_year, M2_change, M1_change","Wage_change, fin_spread, Business_Confidence_EU, variable_mortgages, M2_change","gdp_index_ch, gdp_index_eu, real_turnover, kofbarometer, PPI","kofbarometer, Manufacturing_EU, gdp_index_eu, gdp_index_ch, unemployment_rate","oilprices, variable_mortgages, gdp_index_eu, EU_fin_spread, PPI"
2012-09-01,Core,3,"M2_change, M1_change, Saron_Rate, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, variable_mortgages, fin_spread, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, Wage_change, Saron_Rate, infl_e_next_year","Exchange_Rate_CHF, Vol_loans, Manufacturing_EU, oilprices, real_turnover"
2012-12-01,Core,3,"M2_change, M1_change, Saron_Rate, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, fin_spread, variable_mortgages, Manufacturing_EU, kofbarometer","retail_turnover, Exchange_Rate_CHF, Wage_change, Saron_Rate, infl_e_current_year","Exchange_Rate_CHF, Vol_loans, real_turnover, oilprices, Manufacturing_EU"
2013-03-01,Core,3,"M2_change, Saron_Rate, M1_change, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, fin_spread, variable_mortgages, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, Wage_change, infl_e_current_year, Saron_Rate","Exchange_Rate_CHF, Vol_loans, real_turnover, Manufacturing_EU, unemployment_rate"
2013-06-01,Core,3,"M2_change, Saron_Rate, M1_change, CH_2int, EU_fin_spread","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, fin_spread, variable_mortgages, kofbarometer, unemployment_rate","retail_turnover, Exchange_Rate_CHF, Wage_change, Manufacturing_EU, Saron_Rate","Exchange_Rate_CHF, Vol_loans, Manufacturing_EU, real_turnover, unemployment_rate"
2013-09-01,Core,3,"M2_change, Saron_Rate, CH_2int, EU_fin_spread, M1_change","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, Wage_change, real_turnover, Saron_Rate","Exchange_Rate_CHF, Vol_loans, Manufacturing_EU, unemployment_rate, real_turnover"
2013-12-01,Core,3,"M2_change, Saron_Rate, CH_2int, EU_fin_spread, M1_change","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, real_turnover, Wage_change, PPI","Vol_loans, Exchange_Rate_CHF, Manufacturing_EU, unemployment_rate, infl_e_current_year"
2014-03-01,Core,3,"Saron_Rate, M2_change, CH_2int, EU_fin_spread, M1_change","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, real_turnover, PPI, Wage_change","Vol_loans, Exchange_Rate_CHF, Manufacturing_EU, unemployment_rate, infl_e_current_year"
2014-06-01,Core,3,"Saron_Rate, CH_2int, M2_change, EU_fin_spread, M1_change","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, oilprices","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Wage_change","Vol_loans, Manufacturing_EU, Exchange_Rate_CHF, unemployment_rate, infl_e_current_year"
2014-09-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, kofbarometer, gdp_index_ch, Business_Confidence_EU, oilprices","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Wage_change","Vol_loans, Manufacturing_EU, Exchange_Rate_CHF, unemployment_rate, infl_e_current_year"
2014-12-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, kofbarometer, gdp_index_ch, Business_Confidence_EU, oilprices","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Saron_Rate","Vol_loans, Manufacturing_EU, Exchange_Rate_CHF, unemployment_rate, infl_e_current_year"
2015-03-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, kofbarometer, gdp_index_ch, Business_Confidence_EU, oilprices","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Saron_Rate","Vol_loans, Manufacturing_EU, unemployment_rate, retail_turnover, Wage_change"
2015-06-01,Core,3,"Saron_Rate, EU_fin_spread, CH_2int, M2_change, M1_change","Wage_change, gdp_index_ch, Business_Confidence_EU, kofbarometer, oilprices","fin_spread, oilprices, kofbarometer, unemployment_rate, Manufacturing_EU","Exchange_Rate_CHF, retail_turnover, real_turnover, Saron_Rate, Wage_change","Vol_loans, Manufacturing_EU, unemployment_rate, Exchange_Rate_CHF, infl_e_current_year"
2015-09-01,Core,3,"Saron_Rate, M2_change, EU_fin_spread, CH_2int, M1_change","Wage_change, Business_Confidence_EU, gdp_index_ch, kofbarometer, oilprices","fin_spread, kofbarometer, unemployment_rate, Manufacturing_EU, oilprices","Exchange_Rate_CHF, retail_turnover, real_turnover, oilprices, Wage_change","Vol_loans, Manufacturing_EU, unemployment_rate, Exchange_Rate_CHF, oilprices"
2015-12-01,Core,3,"Saron_Rate, EU_fin_spread, CH_2int, M2_change, M1_change","Wage_change, Business_Confidence_EU, gdp_index_ch, kofbarometer, gdp_index_eu","fin_spread, kofbarometer, unemployment_rate, Manufacturing_EU, PPI","oilprices, Exchange_Rate_CHF, M3_change, retail_turnover, real_turnover","Exchange_Rate_CHF, PPI, oilprices, retail_turnover, Vol_loans"
2016-03-01,Core,3,"Saron_Rate, EU_fin_spread, CH_2int, M2_change, M1_change","Wage_change, Business_Confidence_EU, gdp_index_ch, kofbarometer, variable_mortgages","kofbarometer, fin_spread, unemployment_rate, Manufacturing_EU, PPI","oilprices, M3_change, Exchange_Rate_CHF, fin_spread, unemployment_rate","Exchange_Rate_CHF, retail_turnover, PPI, oilprices, real_turnover"
2016-06-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, gdp_index_ch, gdp_index_eu, variable_mortgages","kofbarometer, fin_spread, Manufacturing_EU, unemployment_rate, M3_change","oilprices, M3_change, fin_spread, unemployment_rate, gdp_index_eu","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2016-09-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, gdp_index_ch, fin_spread, infl_e_current_year","kofbarometer, fin_spread, Manufacturing_EU, M3_change, unemployment_rate","oilprices, M3_change, fin_spread, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2016-12-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_ch, infl_e_current_year","kofbarometer, M3_change, fin_spread, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2017-03-01,Core,3,"Saron_Rate, CH_2int, M2_change, EU_fin_spread, M1_change","Wage_change, Business_Confidence_EU, fin_spread, infl_e_current_year, gdp_index_ch","kofbarometer, M3_change, fin_spread, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, oilprices"
2017-06-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_ch, gdp_index_eu","kofbarometer, M3_change, Manufacturing_EU, fin_spread, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2017-09-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, variable_mortgages","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, Manufacturing_EU, gdp_index_ch, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2017-12-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, variable_mortgages","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Vol_loans"
2018-03-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, variable_mortgages","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, real_turnover, PPI, Vol_loans, retail_turnover"
2018-06-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, variable_mortgages, M2_change","Business_Confidence_EU, Wage_change, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, real_turnover, PPI, Vol_loans, retail_turnover"
2018-09-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, variable_mortgages, M2_change","Business_Confidence_EU, Wage_change, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, PPI, real_turnover, retail_turnover, Vol_loans"
2018-12-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, variable_mortgages","Business_Confidence_EU, Wage_change, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, PPI, retail_turnover, Vol_loans, real_turnover"
2019-03-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, variable_mortgages","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, M3_change, gdp_index_ch, Manufacturing_EU, unemployment_rate","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, PPI, retail_turnover, Vol_loans, real_turnover"
2019-06-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, gdp_index_ch, M3_change, unemployment_rate, Manufacturing_EU","oilprices, fin_spread, M3_change, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, PPI, retail_turnover, Vol_loans, real_turnover"
2019-09-01,Core,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, gdp_index_ch, unemployment_rate, M3_change, Manufacturing_EU","oilprices, fin_spread, M3_change, variable_mortgages, unemployment_rate","Exchange_Rate_CHF, retail_turnover, PPI, Vol_loans, real_turnover"
2019-12-01,Core,3,"Saron_Rate, EU_fin_spread, M2_change, CH_2int, M1_change","Wage_change, Business_Confidence_EU, fin_spread, gdp_index_eu, M1_change","kofbarometer, unemployment_rate, gdp_index_ch, M3_change, Manufacturing_EU","oilprices, fin_spread, M3_change, variable_mortgages, unemployment_rate","Exchange_Rate_CHF, PPI, Vol_loans, retail_turnover, real_turnover"
2020-03-01,Core,3,"M2_change, Saron_Rate, EU_fin_spread, CH_2int, M1_change","Wage_change, Business_Confidence_EU, fin_spread, variable_mortgages, gdp_index_eu","kofbarometer, unemployment_rate, gdp_index_ch, M3_change, Manufacturing_EU","oilprices, fin_spread, M3_change, variable_mortgages, unemployment_rate","Exchange_Rate_CHF, PPI, Vol_loans, retail_turnover, real_turnover"
2020-06-01,Core,3,"M2_change, Saron_Rate, EU_fin_spread, M1_change, CH_2int","Wage_change, Business_Confidence_EU, fin_spread, variable_mortgages, infl_e_next_year","kofbarometer, unemployment_rate, gdp_index_ch, M3_change, Manufacturing_EU","oilprices, fin_spread, variable_mortgages, M3_change, Vol_loans","Exchange_Rate_CHF, PPI, Vol_loans, retail_turnover, real_turnover"
2020-09-01,Core,3,"Saron_Rate, M2_change, CH_2int, EU_fin_spread, M1_change","Wage_change, Business_Confidence_EU, fin_spread, M1_change, variable_mortgages","kofbarometer, M3_change, gdp_index_ch, unemployment_rate, Manufacturing_EU","oilprices, fin_spread, Vol_loans, unemployment_rate, variable_mortgages","Exchange_Rate_CHF, PPI, retail_turnover, oilprices, real_turnover"
2020-12-01,Core,3,"Saron_Rate, CH_2int, infl_e_next_year, variable_mortgages, infl_e_current_year","Wage_change, fin_spread, Business_Confidence_EU, M1_change, M2_change","gdp_index_ch, kofbarometer, gdp_index_eu, M3_change, real_turnover","Manufacturing_EU, kofbarometer, retail_turnover, unemployment_rate, real_turnover","oilprices, Exchange_Rate_CHF, fin_spread, Vol_loans, retail_turnover"
